,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,2000,20779957.0,SP.POP.TOTL,AFG,Afghanistan,South Asia,Low income,IDA
1,2001,21606992.0,SP.POP.TOTL,AFG,Afghanistan,South Asia,Low income,IDA
2,2002,22600774.0,SP.POP.TOTL,AFG,Afghanistan,South Asia,Low income,IDA
3,2003,23680871.0,SP.POP.TOTL,AFG,Afghanistan,South Asia,Low income,IDA
4,2004,24726689.0,SP.POP.TOTL,AFG,Afghanistan,South Asia,Low income,IDA
5,2005,25654274.0,SP.POP.TOTL,AFG,Afghanistan,South Asia,Low income,IDA
6,2006,26433058.0,SP.POP.TOTL,AFG,Afghanistan,South Asia,Low income,IDA
7,2007,27100542.0,SP.POP.TOTL,AFG,Afghanistan,South Asia,Low income,IDA
8,2008,27722281.0,SP.POP.TOTL,AFG,Afghanistan,South Asia,Low income,IDA
9,2009,28394806.0,SP.POP.TOTL,AFG,Afghanistan,South Asia,Low income,IDA
10,2010,29185511.0,SP.POP.TOTL,AFG,Afghanistan,South Asia,Low income,IDA
11,2011,30117411.0,SP.POP.TOTL,AFG,Afghanistan,South Asia,Low income,IDA
12,2012,31161378.0,SP.POP.TOTL,AFG,Afghanistan,South Asia,Low income,IDA
13,2013,32269592.0,SP.POP.TOTL,AFG,Afghanistan,South Asia,Low income,IDA
14,2014,33370804.0,SP.POP.TOTL,AFG,Afghanistan,South Asia,Low income,IDA
15,2015,34413603.0,SP.POP.TOTL,AFG,Afghanistan,South Asia,Low income,IDA
16,2016,35383028.0,SP.POP.TOTL,AFG,Afghanistan,South Asia,Low income,IDA
17,2017,36296111.0,SP.POP.TOTL,AFG,Afghanistan,South Asia,Low income,IDA
18,2018,37171922.0,SP.POP.TOTL,AFG,Afghanistan,South Asia,Low income,IDA
19,2019,38041757.0,SP.POP.TOTL,AFG,Afghanistan,South Asia,Low income,IDA
20,2020,38928341.0,SP.POP.TOTL,AFG,Afghanistan,South Asia,Low income,IDA
21,2000,3089027.0,SP.POP.TOTL,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
22,2001,3060173.0,SP.POP.TOTL,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
23,2002,3051010.0,SP.POP.TOTL,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
24,2003,3039616.0,SP.POP.TOTL,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
25,2004,3026939.0,SP.POP.TOTL,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
26,2005,3011487.0,SP.POP.TOTL,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
27,2006,2992547.0,SP.POP.TOTL,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
28,2007,2970017.0,SP.POP.TOTL,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
29,2008,2947314.0,SP.POP.TOTL,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
30,2009,2927519.0,SP.POP.TOTL,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
31,2010,2913021.0,SP.POP.TOTL,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
32,2011,2905195.0,SP.POP.TOTL,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
33,2012,2900401.0,SP.POP.TOTL,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
34,2013,2895092.0,SP.POP.TOTL,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
35,2014,2889104.0,SP.POP.TOTL,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
36,2015,2880703.0,SP.POP.TOTL,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
37,2016,2876101.0,SP.POP.TOTL,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
